Test_id;Fault_Type;Target_Component;Target_Class;Target_Function;Fault_Location;Line
Test_18;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_do_build_and_run_instance;self._build_and_run_instance(context, instance, image, decoded_files, admin_password, requested_networks, security_groups, block_device_mapping, node, limits, filter_properties);1852
Test_19;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_build_and_run_instance;self._notify_about_instance_usage(context, instance, 'create.start', extra_usage_info={'image_name';1975
Test_20;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_default_block_device_names;self._default_device_names_for_instance(instance, root_device_name, ephemerals, swap, block_device_mapping);1555
Test_21;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_default_device_names_for_instance;self.driver.default_device_names_for_instance(instance, root_device_name, *block_device_lists);1497
Test_22;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/api.py;API;_check_attach_and_reserve_volume;self.volume_api.reserve_volume(context, volume_id);3692
Test_23;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_notify_about_instance_usage;compute_utils.notify_about_instance_usage(self.notifier, context, instance, event_suffix, network_info=network_info, system_metadata=system_metadata, extra_usage_info=extra_usage_info, fault=fault);1663
Test_24;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_build_and_run_instance;compute_utils.notify_about_instance_create(context, instance, self.host, phase=fields.NotificationPhase.START);1977
Test_25;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;delete;self._delete_instance(context, instance);2171
Test_26;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/api.py;API;_attach_volume;self._check_attach_and_reserve_volume(context, volume_id, instance);3707
Test_27;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/api.py;API;_attach_volume;self.compute_rpcapi.attach_volume(context, instance, volume_bdm);3708
Test_28;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;reboot_instance;compute_utils.notify_about_instance_action(context, instance, self.host, action=fields.NotificationAction.REBOOT, phase=fields.NotificationPhase.START);3085
Test_29;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_build_and_run_instance;self._update_scheduler_instance_info(context, instance);2128
Test_30;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_connect_volume;vol_driver.connect_volume(connection_info, disk_info, instance);1191
Test_31;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/scheduler/client/__init__.py;SchedulerClient;update_instance_info;self.queryclient.update_instance_info(context, host_name, instance_info);71
Test_32;DISKIO_MISSING_FUNCTION_CALL-OPEN;/nova/virt/libvirt/host.py;Host;get_memory_mb_used;with open('/proc/meminfo') as fp:\n    m = fp.read().split();787
Test_33;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_connect_volume;vol_driver.connect_volume(connection_info, disk_info, instance);1191
Test_34;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_disconnect_volume;vol_driver.disconnect_volume(connection_info, disk_dev, instance);1195
Test_35;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/block_device.py;BlockDeviceDict;_validate;validate_and_default_volume_size(bdm_dict);121
Test_36;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/block_device.py;DriverVolumeBlockDevice;attach;virt_driver.attach_volume(context, connection_info, instance, self['mount_device'], disk_bus=self['disk_bus'], device_type=self['device_type'], encryption=encryption);390
Test_37;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/volume/iscsi.py;LibvirtISCSIVolumeDriver;disconnect_volume;super(LibvirtISCSIVolumeDriver, self).disconnect_volume(connection_info, disk_dev, instance);79
Test_38;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/volume/iscsi.py;LibvirtISCSIVolumeDriver;disconnect_volume;self.connector.disconnect_volume(connection_info['data'], None);73
Test_39;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/manager.py;ComputeManager;_delete_instance;self._cleanup_volumes(context, instance, bdms, raise_exc=False, detach=False);2467
Test_40;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;attach_volume;self._connect_volume(connection_info, disk_info, instance);1269
Test_41;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;cleanup;self._disconnect_volume(connection_info, disk_dev, instance);1013
Test_42;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;attach_volume;self._check_discard_for_attach_volume(conf, instance);1275
Test_43;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_get_ephemeral_devices;self._connect_volume(connection_info, info, instance);3936
Test_44;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/compute/api.py;API;_attach_volume;self._check_attach_and_reserve_volume(context, volume_id, instance);3707
Test_45;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/manager.py;ComputeManager;_attach_volume;compute_utils.notify_about_volume_attach_detach(context, instance, self.host, action=fields.NotificationAction.VOLUME_ATTACH, phase=fields.NotificationPhase.END, volume_id=bdm.volume_id);4954
Test_46;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/manager.py;ComputeManager;_attach_volume;compute_utils.notify_about_volume_attach_detach(context, instance, self.host, action=fields.NotificationAction.VOLUME_ATTACH, phase=fields.NotificationPhase.START, volume_id=bdm.volume_id);4928
Test_47;OPENSTACK_MISSING_PARAMETERS-IMAGE;/nova/virt/libvirt/driver.py;LibvirtDriver;_create_images_and_backing;self._try_fetch_image_cache(disk, libvirt_utils.fetch_image, context, cache_name, instance.image_ref, instance, info['virt_disk_size'], fallback_from_host);7225
Test_48;OPENSTACK_MISSING_PARAMETERS-IMAGE;/nova/objects/request_spec.py;RequestSpec;from_components;spec_obj._image_meta_from_image(image);416
Test_49;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_disconnect_volume;vol_driver.disconnect_volume(connection_info, disk_dev, instance);1195
Test_50;OPENSTACK_MISSING_PARAMETERS-IMAGE;/nova/compute/api.py;API;_checks_for_create_and_rebuild;self._check_requested_image(context, image_id, image, instance_type, root_bdm);750
Test_51;OPENSTACK_WRONG_PARAMETERS-SSH;/nova/crypto.py;None;generate_fingerprint;serialization.load_ssh_public_key(pub_bytes, backends.default_backend());100
Test_52;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/notifications/objects/instance.py;IpPayload;from_network_info;return ips;286
Test_53;NETIO_MISSING_FUNCTION_CALL-CLOSE;/nova/virt/libvirt/driver.py;LibvirtDriver;_supports_direct_io;os.close(fd);3104
Test_54;NETIO_MISSING_FUNCTION_CALL-CLOSE;/nova/virt/libvirt/driver.py;LibvirtDriver;_ensure_console_log_for_instance;libvirt_utils.file_open(console_file, 'a').close();3167
Test_55;NETIO_MISSING_FUNCTION_CALL-CLOSE;/nova/image/glance.py;GlanceImageServiceV2;download;data.close();381
Test_56;NETIO_MISSING_FUNCTION_CALL-CLOSE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;_compute_node_fetchall;conn.close();668
Test_57;NETIO_MISSING_FUNCTION_CALL-SEND;/nova/compute/manager.py;ComputeManager;_process_instance_event;_event.send(event);6982
Test_58;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;instance_tag_get_by_instance_uuid;return context.session.query(models.Tag).filter_by(resource_id=instance_uuid).all();6928
Test_59;OPENSTACK_MISSING_PARAMETERS-IMAGE;/nova/virt/libvirt/driver.py;LibvirtDriver;_hard_reboot;self._create_images_and_backing(context, instance, instance_dir, backing_disk_info);2605
Test_60;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;_create_instance;self.compute_task_api.schedule_and_build_instances(context, build_requests=build_requests, request_spec=request_specs, image=boot_meta, admin_password=admin_password, injected_files=injected_files, requested_networks=requested_networks, block_device_mapping=block_device_mapping, tags=tags);1170
Test_61;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/api.py;ComputeTaskAPI;schedule_and_build_instances;self.conductor_compute_rpcapi.schedule_and_build_instances(context, build_requests, request_spec, image, admin_password, injected_files, requested_networks, block_device_mapping, tags);130
Test_62;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances;objects.BuildRequest.get_by_instance_uuid(context, instance.uuid);1109
Test_63;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances;self.compute_rpcapi.build_and_run_instance(cctxt, instance=instance, image=image, request_spec=request_spec, filter_properties=filter_props, admin_password=admin_password, injected_files=injected_files, requested_networks=requested_networks, security_groups=legacy_secgroups, block_device_mapping=instance_bdms, host=host['host'], node=host['nodename'], limits=host['limits']);1201
Test_64;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;instance_extra_update_by_uuid;return rows_updated;2926
Test_65;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances;compute_utils.check_num_instances_quota(context, instance.flavor, 0, 0, orig_num_req=len(build_requests));1136
Test_66;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;_schedule_instances;scheduler_utils.setup_instance_group(context, request_spec);633
Test_67;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_available_resource;self._pair_instances_to_migrations(migrations, instances);751
Test_68;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_usage_from_instance;self.pci_tracker.update_pci_for_instance(context, instance, sign=sign);1085
Test_69;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_usage_from_instances;self._remove_deleted_instances_allocations(context, cn);1203
Test_70;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_usage_from_instances;self._update_usage_from_instance(context, instance, nodename, require_allocation_refresh=require_allocation_refresh);1200
Test_71;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_available_resource;self._update_usage_from_instances(context, instances, nodename);745
Test_72;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;instance_claim;self.pci_tracker.claim_instance(context, pci_requests, instance_numa_topology);221
Test_73;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;_instance_metadata_get_multi;return [];5304
Test_74;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;update_usage;self._update_usage_from_instance(context, instance, nodename);512
Test_75;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;instance_claim;self._update_usage_from_instance(context, instance, nodename);225
Test_76;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;external_instance_event;self.compute_rpcapi.external_instance_event(cell_context, instances_by_host[host], events_by_host[host], host=host);4295
Test_77;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;_hard_reboot;self.compute_rpcapi.reboot_instance(context, instance=instance, block_device_info=None, reboot_type='HARD');2969
Test_78;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;_populate_instance_for_create;self._populate_instance_names(instance, num_instances);1513
Test_79;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/volume/cinder.py;None;_untranslate_volume_summary_view;return d;194
Test_80;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/block_device.py;DriverBlankBlockDevice;convert_volume;return convert_all_volumes(volume_bdm)[0];595
Test_81;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/block_device.py;DriverBlankBlockDevice;convert_all_volumes;return [vol for vol in itertools.chain(source_volume, source_snapshot, source_image, source_blank)];588
Test_82;OS_MISSING_FUNCTION_CALL-OS;/nova/image/glance.py;GlanceImageServiceV2;download;os.fsync(data.fileno());380
Test_83;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/virt/libvirt/imagebackend.py;Image;fetch_func_sync;self.resize_image(size);247
Test_84;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/virt/libvirt/driver.py;LibvirtDriver;_create_images_and_backing;self._try_fetch_image_cache(disk, libvirt_utils.fetch_image, context, cache_name, instance.image_ref, instance, info['virt_disk_size'], fallback_from_host);7225
Test_85;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/virt/libvirt/driver.py;LibvirtDriver;_hard_reboot;self._create_images_and_backing(context, instance, instance_dir, backing_disk_info);2605
Test_86;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/objects/request_spec.py;RequestSpec;from_components;spec_obj._image_meta_from_image(image);416
Test_87;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/compute/api.py;API;_checks_for_create_and_rebuild;self._check_requested_image(context, image_id, image, instance_type, root_bdm);750
Test_88;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/block_device.py;BlockDeviceDict;volume_in_mapping;return (strip_dev(mount_device) in block_device_list);586
Test_89;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_get_volume_driver;return self.volume_drivers[driver_type];1187
Test_90;OPENSTACK_THROW_EXCEPTION-IMAGE;/nova/objects/request_spec.py;RequestSpec;from_components;spec_obj._image_meta_from_image(image);416
Test_91;OPENSTACK_THROW_EXCEPTION-IMAGE;/nova/compute/api.py;API;_checks_for_create_and_rebuild;self._check_requested_image(context, image_id, image, instance_type, root_bdm);750
Test_92;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_get_volume_config;return conf;1205
Test_93;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;_schedule_instances;return hosts;636
Test_94;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;get_volume_connector;return connector.get_connector_properties(root_helper, CONF.my_block_storage_ip, CONF.libvirt.volume_use_multipath, enforce_multipath=True, host=CONF.host);1140
Test_95;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/objects/block_device.py;BlockDeviceMapping;is_volume;return (self.destination_type == fields.BlockDeviceDestinationType.VOLUME);269
Test_96;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/conductor/manager.py;ComputeTaskManager;_volume_size;return size;958
Test_97;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_volume_size;return size;1218
Test_98;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_attach_volume;return volume_bdm.device_name;3713
Test_99;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_may_have_ports_or_volumes;return False;1970
Test_100;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_check_attach_and_reserve_volume;return volume;3694
Test_101;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;attach_volume;return self._attach_volume(context, instance, volume_id, device, disk_bus, device_type, tag=tag);3774
Test_102;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_create_volume_bdm;return volume_bdm;3686
Test_103;OPENSTACK_MISSING_PARAMETERS-SSH;/nova/crypto.py;None;generate_fingerprint;serialization.load_ssh_public_key(pub_bytes, backends.default_backend());100
Test_104;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;instance_extra_get_by_instance_uuid;return instance_extra;2940
Test_105;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/network/neutronv2/api.py;API;deallocate_for_instance;objects.VirtualInterface.delete_by_instance_uuid(context, instance.uuid);1207
Test_106;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/network/neutronv2/api.py;API;deallocate_for_instance;base_api.update_instance_cache_with_nw_info(self, context, instance, network_model.NetworkInfo([]));1214
Test_107;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/api/openstack/compute/servers.py;ServersController;_get_servers;req.cache_db_instances(instance_list);326
Test_108;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/api/openstack/compute/servers.py;ServersController;create;req.cache_db_instances(instances);637
Test_109;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/api/openstack/compute/servers.py;ServersController;_get_server;req.cache_db_instance(instance);347
Test_110;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/objects/request_spec.py;RequestSpec;from_components;spec_obj._from_instance_pci_requests(pci_requests);418
Test_111;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/objects/request_spec.py;RequestSpec;from_components;spec_obj._from_instance_numa_topology(numa_topology);419
Test_112;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/virt/libvirt/driver.py;LibvirtDriver;unfilter_instance;self.firewall_driver.unfilter_instance(instance, network_info=network_info);7519
Test_113;OPENSTACK_WRONG_PARAMETERS-NETWORK;/nova/network/neutronv2/api.py;API;_get_available_networks;_ensure_requested_network_ordering((lambda x;363
Test_114;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/objects/build_request.py;BuildRequest;_from_db_object;req._load_instance(db_req['instance']);162
Test_115;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/objects/instance.py;Instance;_handle_cell_update_from_api;db.instance_extra_update_by_uuid(context, self.uuid, self._extra_values_to_save);749
Test_116;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/virt/libvirt/driver.py;LibvirtDriver;cleanup;self.unfilter_instance(instance, network_info);945
Test_117;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;_get_sec_group_models;ec2_instance_create(context, instance_ref['uuid']);1830
Test_118;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;instance_tag_get_by_instance_uuid;_check_instance_exists_in_project(context, instance_uuid);6927
Test_119;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;_instance_update;_instance_metadata_update_in_place(context, instance_ref, 'system_metadata', models.InstanceSystemMetadata, system_metadata);2811
Test_120;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/conductor/api.py;ComputeTaskAPI;schedule_and_build_instances;self.conductor_compute_rpcapi.schedule_and_build_instances(context, build_requests, request_spec, image, admin_password, injected_files, requested_networks, block_device_mapping, tags);130
Test_121;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances;compute_utils.check_num_instances_quota(context, instance.flavor, 0, 0, orig_num_req=len(build_requests));1136
Test_122;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances;self.compute_rpcapi.build_and_run_instance(cctxt, instance=instance, image=image, request_spec=request_spec, filter_properties=filter_props, admin_password=admin_password, injected_files=injected_files, requested_networks=requested_networks, security_groups=legacy_secgroups, block_device_mapping=instance_bdms, host=host['host'], node=host['nodename'], limits=host['limits']);1201
Test_123;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;_schedule_instances;scheduler_utils.setup_instance_group(context, request_spec);633
Test_124;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances;objects.BuildRequest.get_by_instance_uuid(context, instance.uuid);1109
Test_125;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_usage_from_instances;self._update_usage_from_instance(context, instance, nodename, require_allocation_refresh=require_allocation_refresh);1200
Test_126;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;update_usage;self._update_usage_from_instance(context, instance, nodename);512
Test_127;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_usage_from_instances;self._remove_deleted_instances_allocations(context, cn);1203
Test_128;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_available_resource;self._pair_instances_to_migrations(migrations, instances);751
Test_129;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_available_resource;self._update_usage_from_instances(context, instances, nodename);745
Test_130;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/quota.py;QuotaEngine;_instances_cores_ram_count;return total_counts;1903
Test_131;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/utils.py;UndoManager;instance_sys_meta;return instance['system_metadata'];866
Test_132;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/utils.py;UndoManager;instance_sys_meta;return metadata_to_dict(instance['system_metadata'], include_deleted=True);868
Test_133;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/notifications/objects/instance.py;BlockDevicePayload;from_instance;return None;352
Test_134;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/consoleauth/manager.py;ConsoleAuthManager;mc_instance;return self._mc_instance;61
Test_135;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/consoleauth/manager.py;ConsoleAuthManager;_get_tokens_for_instance;return tokens;74
Test_136;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/compute/utils.py;None;check_num_instances_quota;return max_count;816
Test_137;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/consoleauth/rpcapi.py;ConsoleAuthAPI;delete_tokens_for_instance;return cctxt.cast(ctxt, 'delete_tokens_for_instance', instance_uuid=instance_uuid);101
Test_138;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/availability_zones.py;None;get_instance_availability_zone;return az;196
Test_139;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/availability_zones.py;None;get_instance_availability_zone;return az;173
Test_140;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/block_device.py;BlockDeviceDict;instance_block_mapping;return mappings;559
Test_141;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/network/security_group/neutron_driver.py;SecurityGroupAPI;get_instances_security_groups_bindings;return instances_security_group_bindings;405
Test_142;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/network/security_group/neutron_driver.py;SecurityGroupAPI;get_instance_security_groups;return sg_bindings.get(instance.uuid, []);415
Test_143;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/api/metadata/handler.py;MetadataRequestHandler;_handle_instance_id_request;return self._get_meta_by_instance_id(instance_id, tenant_id, remote_address);177
Test_144;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/compute/api.py;API;_get_instance_map_or_none;return inst_map;2267
Test_145;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/utils.py;UndoManager;instance_meta;return instance['metadata'];857
Test_146;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/utils.py;UndoManager;instance_meta;return metadata_to_dict(instance['metadata']);859
Test_147;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/utils.py;UndoManager;instance_sys_meta;return {};864
Test_148;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_build_and_run_instance;compute_utils.notify_about_instance_create(context, instance, self.host, phase=fields.NotificationPhase.START);1977
Test_149;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_complete_deletion;compute_utils.notify_about_instance_action(context, instance, self.host, action=fields.NotificationAction.DELETE, phase=fields.NotificationPhase.END);760
Test_150;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/compute/manager.py;ComputeManager;_build_and_run_instance;self._update_instance_after_spawn(context, instance);2115
